Dataset,Task,Method,Rows,True routes,Evidence classes,Mean utility,Mean oracle utility,Mean regret,Context-use rate,False-context rate,No-harm rate,Abstention rate
CosMx BCC 6K,context utility detection,ContextGate,4,"Abstain, Expression only","coverage only, negative context",1.0,1.0,0.0,0.0,0.0,1.0,0.5
CosMx BCC 6K,context utility detection,Spatial stats,4,"Abstain, Expression only","coverage only, negative context",1.0,1.0,0.0,0.0,0.0,1.0,0.5
CosMx BCC 6K,context utility detection,Expression only,4,"Abstain, Expression only","coverage only, negative context",0.85,1.0,0.15,0.0,0.0,1.0,0.0
CosMx BCC 6K,context utility detection,CellPack tiny,4,"Abstain, Expression only","coverage only, negative context",0.8,1.0,0.2,0.0,0.0,1.0,1.0
CosMx BCC 6K,context utility detection,GraphSAGE style,4,"Abstain, Expression only","coverage only, negative context",0.4,1.0,0.6,0.5,0.0,1.0,0.5
CosMx BCC 6K,context utility detection,LR/pathway,4,"Abstain, Expression only","coverage only, negative context",0.4,1.0,0.6,0.5,0.0,1.0,0.5
CosMx BCC 6K,context utility detection,Always context,4,"Abstain, Expression only","coverage only, negative context",0.1,1.0,0.9,1.0,0.5,0.5,0.0
CosMx BCC 6K,context utility detection,Coord. shuffled,4,"Abstain, Expression only","coverage only, negative context",0.1,1.0,0.9,1.0,0.5,0.5,0.0
CosMx BCC 6K,context utility detection,Distant control,4,"Abstain, Expression only","coverage only, negative context",0.1,1.0,0.9,1.0,0.5,0.5,0.0
CosMx BCC 6K,context utility detection,Random control,4,"Abstain, Expression only","coverage only, negative context",0.1,1.0,0.9,1.0,0.5,0.5,0.0
CosMx NSCLC,context utility detection,CellPack tiny,2,Abstain,coverage only,1.0,1.0,0.0,0.0,0.0,1.0,1.0
CosMx NSCLC,context utility detection,ContextGate,2,Abstain,coverage only,1.0,1.0,0.0,0.0,0.0,1.0,1.0
CosMx NSCLC,context utility detection,Spatial stats,2,Abstain,coverage only,1.0,1.0,0.0,0.0,0.0,1.0,1.0
CosMx NSCLC,context utility detection,Expression only,2,Abstain,coverage only,0.7,1.0,0.3,0.0,0.0,1.0,0.0
CosMx NSCLC,context utility detection,Always context,2,Abstain,coverage only,0.2,1.0,0.8,1.0,0.0,1.0,0.0
CosMx NSCLC,context utility detection,Coord. shuffled,2,Abstain,coverage only,0.2,1.0,0.8,1.0,0.0,1.0,0.0
CosMx NSCLC,context utility detection,Distant control,2,Abstain,coverage only,0.2,1.0,0.8,1.0,0.0,1.0,0.0
CosMx NSCLC,context utility detection,GraphSAGE style,2,Abstain,coverage only,0.2,1.0,0.8,1.0,0.0,1.0,0.0
CosMx NSCLC,context utility detection,LR/pathway,2,Abstain,coverage only,0.2,1.0,0.8,1.0,0.0,1.0,0.0
CosMx NSCLC,context utility detection,Random control,2,Abstain,coverage only,0.2,1.0,0.8,1.0,0.0,1.0,0.0
CosMx PDAC 1K,context utility detection,ContextGate,3,"Abstain, Expression only","localized exploratory, negative context",1.0,1.0,0.0,0.0,0.0,1.0,0.3333
CosMx PDAC 1K,context utility detection,LR/pathway,3,"Abstain, Expression only","localized exploratory, negative context",1.0,1.0,0.0,0.0,0.0,1.0,0.3333
CosMx PDAC 1K,context utility detection,Spatial stats,3,"Abstain, Expression only","localized exploratory, negative context",1.0,1.0,0.0,0.0,0.0,1.0,0.3333
CosMx PDAC 1K,context utility detection,Expression only,3,"Abstain, Expression only","localized exploratory, negative context",0.9,1.0,0.1,0.0,0.0,1.0,0.0
CosMx PDAC 1K,context utility detection,CellPack tiny,3,"Abstain, Expression only","localized exploratory, negative context",0.7333,1.0,0.2667,0.0,0.0,1.0,1.0
CosMx PDAC 1K,context utility detection,GraphSAGE style,3,"Abstain, Expression only","localized exploratory, negative context",0.7333,1.0,0.2667,0.0,0.0,1.0,1.0
