Curve,Dataset,Control level,Method,Method family,Signal strength,Effective signal strength,Noise fraction,Prevalence,Localization scope,Expected route,Expected context-positive,Sensitivity,Recovery rate,Specificity,False-context rate,Abstention rate,Rows,Ladder description
null or confounded specificity,CosMx PDAC 1K,fov or sample confounded signal,Always context,always true neighbor context,0.9,0.9079,0.04,0.7,fov_or_sample_confound,abstain_uncertain,False,,,0.0,1.0,0.0,6,Synthetic signal follows FOV/sample rather than neighbors.
null or confounded specificity,Xenium breast biomarkers,fov or sample confounded signal,Always context,always true neighbor context,0.9,0.9083,0.04,0.7,fov_or_sample_confound,abstain_uncertain,False,,,0.0,1.0,0.0,6,Synthetic signal follows FOV/sample rather than neighbors.
null or confounded specificity,CosMx PDAC 1K,fov or sample confounded signal,CellPack tiny,cellpack packed context,0.9,0.9079,0.04,0.7,fov_or_sample_confound,abstain_uncertain,False,,,0.0,1.0,0.0,6,Synthetic signal follows FOV/sample rather than neighbors.
null or confounded specificity,Xenium breast biomarkers,fov or sample confounded signal,CellPack tiny,cellpack packed context,0.9,0.9083,0.04,0.7,fov_or_sample_confound,abstain_uncertain,False,,,0.0,1.0,0.0,6,Synthetic signal follows FOV/sample rather than neighbors.
null or confounded specificity,CosMx PDAC 1K,fov or sample confounded signal,ContextGate,contextgate transparent router,0.9,0.9079,0.04,0.7,fov_or_sample_confound,abstain_uncertain,False,,,0.91,0.0,1.0,6,Synthetic signal follows FOV/sample rather than neighbors.
null or confounded specificity,Xenium breast biomarkers,fov or sample confounded signal,ContextGate,contextgate transparent router,0.9,0.9083,0.04,0.7,fov_or_sample_confound,abstain_uncertain,False,,,0.91,0.0,1.0,6,Synthetic signal follows FOV/sample rather than neighbors.
null or confounded specificity,CosMx PDAC 1K,fov or sample confounded signal,Coord. shuffled,wrong context coordinate shuffled,0.9,0.9079,0.04,0.7,fov_or_sample_confound,abstain_uncertain,False,,,0.0,1.0,0.0,6,Synthetic signal follows FOV/sample rather than neighbors.
null or confounded specificity,Xenium breast biomarkers,fov or sample confounded signal,Coord. shuffled,wrong context coordinate shuffled,0.9,0.9083,0.04,0.7,fov_or_sample_confound,abstain_uncertain,False,,,0.0,1.0,0.0,6,Synthetic signal follows FOV/sample rather than neighbors.
null or confounded specificity,CosMx PDAC 1K,fov or sample confounded signal,Distant control,wrong context distant neighbor,0.9,0.9079,0.04,0.7,fov_or_sample_confound,abstain_uncertain,False,,,0.0,1.0,0.0,6,Synthetic signal follows FOV/sample rather than neighbors.
null or confounded specificity,Xenium breast biomarkers,fov or sample confounded signal,Distant control,wrong context distant neighbor,0.9,0.9083,0.04,0.7,fov_or_sample_confound,abstain_uncertain,False,,,0.0,1.0,0.0,6,Synthetic signal follows FOV/sample rather than neighbors.
null or confounded specificity,CosMx PDAC 1K,fov or sample confounded signal,Expression only,expression only or center only,0.9,0.9079,0.04,0.7,fov_or_sample_confound,abstain_uncertain,False,,,1.0,0.0,0.0,6,Synthetic signal follows FOV/sample rather than neighbors.
null or confounded specificity,Xenium breast biomarkers,fov or sample confounded signal,Expression only,expression only or center only,0.9,0.9083,0.04,0.7,fov_or_sample_confound,abstain_uncertain,False,,,1.0,0.0,0.0,6,Synthetic signal follows FOV/sample rather than neighbors.
null or confounded specificity,CosMx PDAC 1K,fov or sample confounded signal,GraphSAGE style,gnn style context aggregation,0.9,0.9079,0.04,0.7,fov_or_sample_confound,abstain_uncertain,False,,,0.0,1.0,0.0,6,Synthetic signal follows FOV/sample rather than neighbors.
null or confounded specificity,Xenium breast biomarkers,fov or sample confounded signal,GraphSAGE style,gnn style context aggregation,0.9,0.9083,0.04,0.7,fov_or_sample_confound,abstain_uncertain,False,,,0.0,1.0,0.0,6,Synthetic signal follows FOV/sample rather than neighbors.
null or confounded specificity,CosMx PDAC 1K,fov or sample confounded signal,LR/pathway,ligand receptor or pathway heuristic,0.9,0.9079,0.04,0.7,fov_or_sample_confound,abstain_uncertain,False,,,0.0,1.0,0.0,6,Synthetic signal follows FOV/sample rather than neighbors.
null or confounded specificity,Xenium breast biomarkers,fov or sample confounded signal,LR/pathway,ligand receptor or pathway heuristic,0.9,0.9083,0.04,0.7,fov_or_sample_confound,abstain_uncertain,False,,,0.0,1.0,0.0,6,Synthetic signal follows FOV/sample rather than neighbors.
null or confounded specificity,CosMx PDAC 1K,fov or sample confounded signal,Random control,wrong context random neighbor,0.9,0.9079,0.04,0.7,fov_or_sample_confound,abstain_uncertain,False,,,0.0,1.0,0.0,6,Synthetic signal follows FOV/sample rather than neighbors.
null or confounded specificity,Xenium breast biomarkers,fov or sample confounded signal,Random control,wrong context random neighbor,0.9,0.9083,0.04,0.7,fov_or_sample_confound,abstain_uncertain,False,,,0.0,1.0,0.0,6,Synthetic signal follows FOV/sample rather than neighbors.
null or confounded specificity,CosMx PDAC 1K,fov or sample confounded signal,Spatial stats,spatial statistics heuristic,0.9,0.9079,0.04,0.7,fov_or_sample_confound,abstain_uncertain,False,,,0.0,1.0,0.0,6,Synthetic signal follows FOV/sample rather than neighbors.
null or confounded specificity,Xenium breast biomarkers,fov or sample confounded signal,Spatial stats,spatial statistics heuristic,0.9,0.9083,0.04,0.7,fov_or_sample_confound,abstain_uncertain,False,,,0.0,1.0,0.0,6,Synthetic signal follows FOV/sample rather than neighbors.
null or confounded specificity,CosMx PDAC 1K,missing panel or target dropout signal,Always context,always true neighbor context,0.85,0.8599,0.1,0.6,global_but_unobservable,abstain_uncertain,False,,,0.0,1.0,0.0,6,Signal source exists but target/panel evidence is dropped.
null or confounded specificity,Xenium breast biomarkers,missing panel or target dropout signal,Always context,always true neighbor context,0.85,0.8598,0.1,0.6,global_but_unobservable,abstain_uncertain,False,,,0.0,1.0,0.0,6,Signal source exists but target/panel evidence is dropped.
null or confounded specificity,CosMx PDAC 1K,missing panel or target dropout signal,CellPack tiny,cellpack packed context,0.85,0.8599,0.1,0.6,global_but_unobservable,abstain_uncertain,False,,,0.82,0.0,1.0,6,Signal source exists but target/panel evidence is dropped.
null or confounded specificity,Xenium breast biomarkers,missing panel or target dropout signal,CellPack tiny,cellpack packed context,0.85,0.8598,0.1,0.6,global_but_unobservable,abstain_uncertain,False,,,0.82,0.0,1.0,6,Signal source exists but target/panel evidence is dropped.
null or confounded specificity,CosMx PDAC 1K,missing panel or target dropout signal,ContextGate,contextgate transparent router,0.85,0.8599,0.1,0.6,global_but_unobservable,abstain_uncertain,False,,,0.94,0.0,1.0,6,Signal source exists but target/panel evidence is dropped.
null or confounded specificity,Xenium breast biomarkers,missing panel or target dropout signal,ContextGate,contextgate transparent router,0.85,0.8598,0.1,0.6,global_but_unobservable,abstain_uncertain,False,,,0.94,0.0,1.0,6,Signal source exists but target/panel evidence is dropped.
null or confounded specificity,CosMx PDAC 1K,missing panel or target dropout signal,Coord. shuffled,wrong context coordinate shuffled,0.85,0.8599,0.1,0.6,global_but_unobservable,abstain_uncertain,False,,,0.0,1.0,0.0,6,Signal source exists but target/panel evidence is dropped.
null or confounded specificity,Xenium breast biomarkers,missing panel or target dropout signal,Coord. shuffled,wrong context coordinate shuffled,0.85,0.8598,0.1,0.6,global_but_unobservable,abstain_uncertain,False,,,0.0,1.0,0.0,6,Signal source exists but target/panel evidence is dropped.
null or confounded specificity,CosMx PDAC 1K,missing panel or target dropout signal,Distant control,wrong context distant neighbor,0.85,0.8599,0.1,0.6,global_but_unobservable,abstain_uncertain,False,,,0.0,1.0,0.0,6,Signal source exists but target/panel evidence is dropped.
null or confounded specificity,Xenium breast biomarkers,missing panel or target dropout signal,Distant control,wrong context distant neighbor,0.85,0.8598,0.1,0.6,global_but_unobservable,abstain_uncertain,False,,,0.0,1.0,0.0,6,Signal source exists but target/panel evidence is dropped.
null or confounded specificity,CosMx PDAC 1K,missing panel or target dropout signal,Expression only,expression only or center only,0.85,0.8599,0.1,0.6,global_but_unobservable,abstain_uncertain,False,,,1.0,0.0,0.0,6,Signal source exists but target/panel evidence is dropped.
null or confounded specificity,Xenium breast biomarkers,missing panel or target dropout signal,Expression only,expression only or center only,0.85,0.8598,0.1,0.6,global_but_unobservable,abstain_uncertain,False,,,1.0,0.0,0.0,6,Signal source exists but target/panel evidence is dropped.
null or confounded specificity,CosMx PDAC 1K,missing panel or target dropout signal,GraphSAGE style,gnn style context aggregation,0.85,0.8599,0.1,0.6,global_but_unobservable,abstain_uncertain,False,,,0.86,0.0,1.0,6,Signal source exists but target/panel evidence is dropped.
null or confounded specificity,Xenium breast biomarkers,missing panel or target dropout signal,GraphSAGE style,gnn style context aggregation,0.85,0.8598,0.1,0.6,global_but_unobservable,abstain_uncertain,False,,,0.86,0.0,1.0,6,Signal source exists but target/panel evidence is dropped.
null or confounded specificity,CosMx PDAC 1K,missing panel or target dropout signal,LR/pathway,ligand receptor or pathway heuristic,0.85,0.8599,0.1,0.6,global_but_unobservable,abstain_uncertain,False,,,0.96,0.0,1.0,6,Signal source exists but target/panel evidence is dropped.
null or confounded specificity,Xenium breast biomarkers,missing panel or target dropout signal,LR/pathway,ligand receptor or pathway heuristic,0.85,0.8598,0.1,0.6,global_but_unobservable,abstain_uncertain,False,,,0.96,0.0,1.0,6,Signal source exists but target/panel evidence is dropped.
null or confounded specificity,CosMx PDAC 1K,missing panel or target dropout signal,Random control,wrong context random neighbor,0.85,0.8599,0.1,0.6,global_but_unobservable,abstain_uncertain,False,,,0.0,1.0,0.0,6,Signal source exists but target/panel evidence is dropped.
null or confounded specificity,Xenium breast biomarkers,missing panel or target dropout signal,Random control,wrong context random neighbor,0.85,0.8598,0.1,0.6,global_but_unobservable,abstain_uncertain,False,,,0.0,1.0,0.0,6,Signal source exists but target/panel evidence is dropped.
null or confounded specificity,CosMx PDAC 1K,missing panel or target dropout signal,Spatial stats,spatial statistics heuristic,0.85,0.8599,0.1,0.6,global_but_unobservable,abstain_uncertain,False,,,0.84,0.0,1.0,6,Signal source exists but target/panel evidence is dropped.
null or confounded specificity,Xenium breast biomarkers,missing panel or target dropout signal,Spatial stats,spatial statistics heuristic,0.85,0.8598,0.1,0.6,global_but_unobservable,abstain_uncertain,False,,,0.84,0.0,1.0,6,Signal source exists but target/panel evidence is dropped.
null or confounded specificity,CosMx PDAC 1K,null no context signal,Always context,always true neighbor context,0.0,0.0099,0.0,0.0,none,expression_only,False,,,0.0,1.0,0.0,6,No injected neighbor-context signal.
null or confounded specificity,Xenium breast biomarkers,null no context signal,Always context,always true neighbor context,0.0,0.0103,0.0,0.0,none,expression_only,False,,,0.0,1.0,0.0,6,No injected neighbor-context signal.
null or confounded specificity,CosMx PDAC 1K,null no context signal,CellPack tiny,cellpack packed context,0.0,0.0099,0.0,0.0,none,expression_only,False,,,0.86,0.0,0.0,6,No injected neighbor-context signal.
