Method,Positive rows,Recovered positive rows,Positive route recovery rate,Positive route recovery Wilson low,Positive route recovery Wilson high,Mean positive sensitivity score CI low,Mean positive sensitivity score CI high,Strong-signal recovery rate,Weak/noisy recovery rate,Localized recovery rate,Positive route misses vs always-context,Smallest recovered injected strength,Smallest recovered effective strength,Mean positive sensitivity,Null/confounded rows,Null/confounded gate-pass rows,Null/confounded gate-pass rate,Null/confounded gate-pass Wilson low,Null/confounded gate-pass Wilson high,Mean null/confounded specificity CI low,Mean null/confounded specificity CI high,Mean null/confounded specificity,Max null/confounded FCR,Missing-panel abstention,Confounded abstention,Detectability interpretation,Source artifact
ContextGate,36,36,1.0,0.9036,1.0,0.8371,0.8896,1.0,1.0,1.0,0,0.55,0.5501,0.8633,36,36,1.0,0.9036,1.0,0.9338,0.9528,0.9433,0.0,1.0,1.0,Recovered all positive ladder rungs; synthetic floor is not a real-data power bound,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv
Always context,36,36,1.0,0.9036,1.0,0.92,0.92,1.0,1.0,1.0,0,0.55,0.5501,0.92,36,0,0.0,0.0,0.0964,0.0,0.0,0.0,1.0,0.0,0.0,Recovered all positive ladder rungs; synthetic floor is not a real-data power bound,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv
CellPack tiny,36,36,1.0,0.9036,1.0,0.767,0.8263,1.0,1.0,1.0,0,0.55,0.5501,0.7967,36,24,0.6667,0.5033,0.7979,0.4287,0.6913,0.56,1.0,1.0,0.0,Recovered all positive ladder rungs; synthetic floor is not a real-data power bound,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv
GraphSAGE style,36,36,1.0,0.9036,1.0,0.7617,0.8117,1.0,1.0,1.0,0,0.55,0.5501,0.7867,36,24,0.6667,0.5033,0.7979,0.4441,0.7159,0.58,1.0,1.0,0.0,Recovered all positive ladder rungs; synthetic floor is not a real-data power bound,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv
LR/pathway,36,36,1.0,0.9036,1.0,0.711,0.7423,1.0,1.0,1.0,0,0.55,0.5501,0.7267,36,24,0.6667,0.5033,0.7979,0.4745,0.7655,0.62,1.0,1.0,0.0,Recovered all positive ladder rungs; synthetic floor is not a real-data power bound,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv
Spatial stats,36,24,0.6667,0.5033,0.7979,0.6536,0.7598,1.0,0.0,1.0,12,0.75,0.7563,0.7067,36,24,0.6667,0.5033,0.7979,0.4488,0.7245,0.5867,1.0,1.0,0.0,Recovered some injected positive rows; synthetic floor is method-limited,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv
Expression only,36,0,0.0,0.0,0.0964,0.0,0.0,0.0,0.0,0.0,36,,,0.0,36,36,1.0,0.9036,1.0,1.0,1.0,1.0,0.0,0.0,0.0,No injected positive signal recovered under this method,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv
Coord. shuffled,36,0,0.0,0.0,0.0964,0.0714,0.0833,0.0,0.0,0.0,0,,,0.0774,36,0,0.0,0.0,0.0964,0.0,0.0,0.0,1.0,0.0,0.0,No injected positive signal recovered under this method,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv
Distant control,36,0,0.0,0.0,0.0964,0.0714,0.0833,0.0,0.0,0.0,0,,,0.0774,36,0,0.0,0.0,0.0964,0.0,0.0,0.0,1.0,0.0,0.0,No injected positive signal recovered under this method,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv
Random control,36,0,0.0,0.0,0.0964,0.0714,0.0833,0.0,0.0,0.0,0,,,0.0774,36,0,0.0,0.0,0.0964,0.0,0.0,0.0,1.0,0.0,0.0,No injected positive signal recovered under this method,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv
