Source,Evidence stratum,Null class,Denominator policy,Method,Method family,Rows,Context-use rate,False-context rows,Primary rate,Primary rate label,No-harm rate,Null specificity,Positive sensitivity,Route recovery,Source artifact,Interpretation
CP-Q2 method comparison,Real explicit negative-context rows,real negative context,real_negative_fcr,Always context,always true neighbor context,11,1.0,11,1.0,Null-denominator FCR,0.0,0.0,,0.0,results/reports/cp_q2_method_comparison/method_predictions.csv,Strict real-data denominator where the registered route is expression-only.
CP-Q2 method comparison,Real explicit negative-context rows,real negative context,real_negative_fcr,CellPack tiny,cellpack packed context,11,0.0,0,0.0,Null-denominator FCR,1.0,1.0,,0.0,results/reports/cp_q2_method_comparison/method_predictions.csv,Strict real-data denominator where the registered route is expression-only.
CP-Q2 method comparison,Real explicit negative-context rows,real negative context,real_negative_fcr,ContextGate,contextgate transparent router,11,0.0,0,0.0,Null-denominator FCR,1.0,1.0,,1.0,results/reports/cp_q2_method_comparison/method_predictions.csv,Strict real-data denominator where the registered route is expression-only.
CP-Q2 method comparison,Real explicit negative-context rows,real negative context,real_negative_fcr,Coord. shuffled,wrong context coordinate shuffled,11,1.0,11,1.0,Null-denominator FCR,0.0,0.0,,0.0,results/reports/cp_q2_method_comparison/method_predictions.csv,Strict real-data denominator where the registered route is expression-only.
CP-Q2 method comparison,Real explicit negative-context rows,real negative context,real_negative_fcr,Distant control,wrong context distant neighbor,11,1.0,11,1.0,Null-denominator FCR,0.0,0.0,,0.0,results/reports/cp_q2_method_comparison/method_predictions.csv,Strict real-data denominator where the registered route is expression-only.
CP-Q2 method comparison,Real explicit negative-context rows,real negative context,real_negative_fcr,Expression only,expression only or center only,11,0.0,0,0.0,Null-denominator FCR,1.0,1.0,,1.0,results/reports/cp_q2_method_comparison/method_predictions.csv,Strict real-data denominator where the registered route is expression-only.
CP-Q2 method comparison,Real explicit negative-context rows,real negative context,real_negative_fcr,LR/pathway,ligand receptor or pathway heuristic,11,0.0,0,0.0,Null-denominator FCR,1.0,1.0,,0.4545,results/reports/cp_q2_method_comparison/method_predictions.csv,Strict real-data denominator where the registered route is expression-only.
CP-Q2 method comparison,Real explicit negative-context rows,real negative context,real_negative_fcr,GraphSAGE style,gnn style context aggregation,11,0.0,0,0.0,Null-denominator FCR,1.0,1.0,,0.0,results/reports/cp_q2_method_comparison/method_predictions.csv,Strict real-data denominator where the registered route is expression-only.
CP-Q2 method comparison,Real explicit negative-context rows,real negative context,real_negative_fcr,Random control,wrong context random neighbor,11,1.0,11,1.0,Null-denominator FCR,0.0,0.0,,0.0,results/reports/cp_q2_method_comparison/method_predictions.csv,Strict real-data denominator where the registered route is expression-only.
CP-Q2 method comparison,Real explicit negative-context rows,real negative context,real_negative_fcr,Spatial stats,spatial statistics heuristic,11,0.0,0,0.0,Null-denominator FCR,1.0,1.0,,1.0,results/reports/cp_q2_method_comparison/method_predictions.csv,Strict real-data denominator where the registered route is expression-only.
CP-Q2 method comparison,Real unsupported or abstention rows,real unsupported evidence,unsupported_context_exposure,Always context,always true neighbor context,11,1.0,0,1.0,Unsupported-context exposure,1.0,,,0.0,results/reports/cp_q2_method_comparison/method_predictions.csv,Context use is counted as unsupported exposure rather than a strict false-positive flag.
CP-Q2 method comparison,Real unsupported or abstention rows,real unsupported evidence,unsupported_context_exposure,CellPack tiny,cellpack packed context,11,0.0,0,0.0,Unsupported-context exposure,1.0,,,1.0,results/reports/cp_q2_method_comparison/method_predictions.csv,Context use is counted as unsupported exposure rather than a strict false-positive flag.
CP-Q2 method comparison,Real unsupported or abstention rows,real unsupported evidence,unsupported_context_exposure,ContextGate,contextgate transparent router,11,0.0,0,0.0,Unsupported-context exposure,1.0,,,1.0,results/reports/cp_q2_method_comparison/method_predictions.csv,Context use is counted as unsupported exposure rather than a strict false-positive flag.
CP-Q2 method comparison,Real unsupported or abstention rows,real unsupported evidence,unsupported_context_exposure,Coord. shuffled,wrong context coordinate shuffled,11,1.0,0,1.0,Unsupported-context exposure,1.0,,,0.0,results/reports/cp_q2_method_comparison/method_predictions.csv,Context use is counted as unsupported exposure rather than a strict false-positive flag.
CP-Q2 method comparison,Real unsupported or abstention rows,real unsupported evidence,unsupported_context_exposure,Distant control,wrong context distant neighbor,11,1.0,0,1.0,Unsupported-context exposure,1.0,,,0.0,results/reports/cp_q2_method_comparison/method_predictions.csv,Context use is counted as unsupported exposure rather than a strict false-positive flag.
CP-Q2 method comparison,Real unsupported or abstention rows,real unsupported evidence,unsupported_context_exposure,Expression only,expression only or center only,11,0.0,0,0.0,Unsupported-context exposure,1.0,,,0.0,results/reports/cp_q2_method_comparison/method_predictions.csv,Context use is counted as unsupported exposure rather than a strict false-positive flag.
CP-Q2 method comparison,Real unsupported or abstention rows,real unsupported evidence,unsupported_context_exposure,LR/pathway,ligand receptor or pathway heuristic,11,0.7273,0,0.7273,Unsupported-context exposure,1.0,,,0.2727,results/reports/cp_q2_method_comparison/method_predictions.csv,Context use is counted as unsupported exposure rather than a strict false-positive flag.
CP-Q2 method comparison,Real unsupported or abstention rows,real unsupported evidence,unsupported_context_exposure,GraphSAGE style,gnn style context aggregation,11,0.8182,0,0.8182,Unsupported-context exposure,1.0,,,0.1818,results/reports/cp_q2_method_comparison/method_predictions.csv,Context use is counted as unsupported exposure rather than a strict false-positive flag.
CP-Q2 method comparison,Real unsupported or abstention rows,real unsupported evidence,unsupported_context_exposure,Random control,wrong context random neighbor,11,1.0,0,1.0,Unsupported-context exposure,1.0,,,0.0,results/reports/cp_q2_method_comparison/method_predictions.csv,Context use is counted as unsupported exposure rather than a strict false-positive flag.
CP-Q2 method comparison,Real unsupported or abstention rows,real unsupported evidence,unsupported_context_exposure,Spatial stats,spatial statistics heuristic,11,0.0,0,0.0,Unsupported-context exposure,1.0,,,1.0,results/reports/cp_q2_method_comparison/method_predictions.csv,Context use is counted as unsupported exposure rather than a strict false-positive flag.
CP-Q2 method comparison,All CP-Q2 registered rows,all-row registered mix,all_row_false_context_flag_mean,Always context,always true neighbor context,23,1.0,11,0.4783,All-row false-context flag mean,0.5217,0.5217,,0.0435,results/reports/cp_q2_method_comparison/method_predictions.csv,This is the source of the legacy 0.4783 always-context value; it is not the primary null-denominator FCR.
CP-Q2 method comparison,All CP-Q2 registered rows,all-row registered mix,all_row_false_context_flag_mean,CellPack tiny,cellpack packed context,23,0.0435,0,0.0,All-row false-context flag mean,1.0,1.0,,0.5217,results/reports/cp_q2_method_comparison/method_predictions.csv,This is the source of the legacy 0.4783 always-context value; it is not the primary null-denominator FCR.
CP-Q2 method comparison,All CP-Q2 registered rows,all-row registered mix,all_row_false_context_flag_mean,ContextGate,contextgate transparent router,23,0.0,0,0.0,All-row false-context flag mean,1.0,1.0,,0.9565,results/reports/cp_q2_method_comparison/method_predictions.csv,This is the source of the legacy 0.4783 always-context value; it is not the primary null-denominator FCR.
CP-Q2 method comparison,All CP-Q2 registered rows,all-row registered mix,all_row_false_context_flag_mean,Coord. shuffled,wrong context coordinate shuffled,23,1.0,11,0.4783,All-row false-context flag mean,0.5217,0.5217,,0.0435,results/reports/cp_q2_method_comparison/method_predictions.csv,This is the source of the legacy 0.4783 always-context value; it is not the primary null-denominator FCR.
CP-Q2 method comparison,All CP-Q2 registered rows,all-row registered mix,all_row_false_context_flag_mean,Distant control,wrong context distant neighbor,23,1.0,11,0.4783,All-row false-context flag mean,0.5217,0.5217,,0.0435,results/reports/cp_q2_method_comparison/method_predictions.csv,This is the source of the legacy 0.4783 always-context value; it is not the primary null-denominator FCR.
