Dataset,Task,Platform,Dataset role,Samples,Donors,Panel genes,Panel-depth group,Completed q1 jobs,Skipped q1 jobs,Full-tier metric rows,Methods,Controls,Splits,Seeds,Mean prediction error,Mean residual delta,Mean regret,Mean FCR,Mean no-harm,Mean abstention,Route decisions,Expression-only decisions,Abstain decisions,Positive-control-only decisions,Context-allowed decisions,Decision source tables,Context-utility rows,Mean context-utility score,Max context-utility score,High-score context-utility rows,Context evidence classes
CosMx BCC 6K,cell type or spatial label prediction,CosMx,Included,8,4,6195,">=5,000 genes",42,0,630,7,2,3,3,0.6334,-0.3534,0.6334,0.2337,0.76,0.1876,0,0,0,0,0,,4,0.05,0.1,0,"coverage_only, negative_context"
CosMx NSCLC,cell type or spatial label prediction,CosMx,Included,1,1,980,"<1,100 genes",28,14,420,7,2,3,3,0.634,-0.354,0.634,0.2337,0.76,0.1876,0,0,0,0,0,,2,0.1,0.1,0,coverage_only
CosMx PDAC 1K,cell type or spatial label prediction,CosMx,Included,8,8,1000,"<1,100 genes",42,0,630,7,2,3,3,0.6364,-0.3564,0.6364,0.2337,0.76,0.1876,0,0,0,0,0,,3,0.1167,0.35,0,"localized_exploratory, negative_context"
CosMx PDAC metastasis,cell type or spatial label prediction,CosMx,Included,7,3,1010,"<1,100 genes",42,0,630,7,2,3,3,0.6352,-0.3552,0.6352,0.2337,0.76,0.1876,0,0,0,0,0,,6,0.225,0.35,0,"borderline_preflight, localized_exploratory, negative_context"
Xenium breast 5K,cell type or spatial label prediction,Xenium,Included,1,1,9475,">=5,000 genes",0,42,0,7,2,3,3,,,,,,,0,0,0,0,0,,5,0.15,0.7,1,"insufficient_evidence, negative_context, positive_control_only"
Xenium breast biomarkers,cell type or spatial label prediction,Xenium,Included,12,12,542,"<1,100 genes",42,0,630,7,2,3,3,0.6332,-0.3532,0.6332,0.2337,0.76,0.1876,0,0,0,0,0,,3,0.0,0.0,0,negative_context
CosMx BCC 6K,ligand receptor recovery,CosMx,Included,8,4,6195,">=5,000 genes",42,0,630,7,2,3,3,0.6545,-0.3745,0.6545,0.2337,0.76,0.1876,0,0,0,0,0,,4,0.05,0.1,0,"coverage_only, negative_context"
CosMx NSCLC,ligand receptor recovery,CosMx,Included,1,1,980,"<1,100 genes",28,14,420,7,2,3,3,0.6526,-0.3726,0.6526,0.2337,0.76,0.1876,0,0,0,0,0,,2,0.1,0.1,0,coverage_only
CosMx PDAC 1K,ligand receptor recovery,CosMx,Included,8,8,1000,"<1,100 genes",42,0,630,7,2,3,3,0.653,-0.373,0.653,0.2337,0.76,0.1876,0,0,0,0,0,,3,0.1167,0.35,0,"localized_exploratory, negative_context"
CosMx PDAC metastasis,ligand receptor recovery,CosMx,Included,7,3,1010,"<1,100 genes",42,0,630,7,2,3,3,0.6543,-0.3743,0.6543,0.2337,0.76,0.1876,0,0,0,0,0,,6,0.225,0.35,0,"borderline_preflight, localized_exploratory, negative_context"
