method_id,method_family,row_count,mean_utility,mean_regret,no_harm_rate,false_positive_context_rate,abstention_rate,context_use_rate,mean_confidence,runtime_seconds_estimate
always_true_neighbor_mean,always_true_neighbor_context,23,0.13913043478260875,0.8608695652173914,0.5217391304347826,0.4782608695652174,0.0,1.0,0.9499999999999997,0.23
cellpack_packed_context_tiny,cellpack_packed_context,23,0.8086956521739131,0.19130434782608696,1.0,0.0,0.9565217391304348,0.043478260869565216,0.5586956521739133,0.23
contextgate_transparent_router,contextgate_transparent_router,23,0.9739130434782608,0.02608695652173913,1.0,0.0,0.5217391304347826,0.0,0.9000000000000001,0.23
coordinate_shuffled_control_model,wrong_context_coordinate_shuffled,23,0.13913043478260875,0.8608695652173914,0.5217391304347826,0.4782608695652174,0.0,1.0,0.8000000000000003,0.23
distant_neighbor_control_model,wrong_context_distant_neighbor,23,0.13913043478260875,0.8608695652173914,0.5217391304347826,0.4782608695652174,0.0,1.0,0.8000000000000003,0.23
expression_only_linear,expression_only_or_center_only,23,0.8130434782608694,0.18695652173913044,1.0,0.0,0.0,0.0,0.9499999999999997,0.23
ligand_receptor_pathway_heuristic,ligand_receptor_or_pathway_heuristic,23,0.5913043478260869,0.4086956521739131,1.0,0.0,0.43478260869565216,0.34782608695652173,0.6565217391304347,0.23
lightweight_graphsage_aggregation,gnn_style_context_aggregation,23,0.46956521739130425,0.5304347826086958,1.0,0.0,0.6086956521739131,0.391304347826087,0.6191304347826087,0.23
random_neighbor_control_model,wrong_context_random_neighbor,23,0.13913043478260875,0.8608695652173914,0.5217391304347826,0.4782608695652174,0.0,1.0,0.8000000000000003,0.23
spatial_statistics_heuristic,spatial_statistics_heuristic,23,1.0,0.0,1.0,0.0,0.4782608695652174,0.043478260869565216,0.7282608695652174,0.23
