method_id,utility_delta_vs_expression,utility_delta_vs_always_context,regret_delta_vs_expression,regret_delta_vs_always_context,no_harm_success_delta_vs_expression,no_harm_success_delta_vs_always_context,false_positive_context_use_delta_vs_expression,false_positive_context_use_delta_vs_always_context,abstained_delta_vs_expression,abstained_delta_vs_always_context
always_true_neighbor_mean,-0.6739130434782609,0.0,0.6739130434782609,0.0,-0.4782608695652174,0.0,0.4782608695652174,0.0,0.0,0.0
cellpack_packed_context_tiny,-0.004347826086956506,0.6695652173913044,0.004347826086956506,-0.6695652173913044,0.0,0.4782608695652174,0.0,-0.4782608695652174,0.9565217391304348,0.9565217391304348
contextgate_transparent_router,0.16086956521739132,0.8347826086956524,-0.16086956521739132,-0.8347826086956524,0.0,0.4782608695652174,0.0,-0.4782608695652174,0.5217391304347826,0.5217391304347826
coordinate_shuffled_control_model,-0.6739130434782609,0.0,0.6739130434782609,0.0,-0.4782608695652174,0.0,0.4782608695652174,0.0,0.0,0.0
distant_neighbor_control_model,-0.6739130434782609,0.0,0.6739130434782609,0.0,-0.4782608695652174,0.0,0.4782608695652174,0.0,0.0,0.0
expression_only_linear,0.0,0.6739130434782609,0.0,-0.6739130434782609,0.0,0.4782608695652174,0.0,-0.4782608695652174,0.0,0.0
ligand_receptor_pathway_heuristic,-0.22173913043478263,0.45217391304347826,0.22173913043478263,-0.45217391304347826,0.0,0.4782608695652174,0.0,-0.4782608695652174,0.43478260869565216,0.43478260869565216
lightweight_graphsage_aggregation,-0.3434782608695653,0.3304347826086956,0.3434782608695653,-0.3304347826086956,0.0,0.4782608695652174,0.0,-0.4782608695652174,0.6086956521739131,0.6086956521739131
random_neighbor_control_model,-0.6739130434782609,0.0,0.6739130434782609,0.0,-0.4782608695652174,0.0,0.4782608695652174,0.0,0.0,0.0
spatial_statistics_heuristic,0.18695652173913044,0.8608695652173914,-0.18695652173913044,-0.8608695652173914,0.0,0.4782608695652174,0.0,-0.4782608695652174,0.4782608695652174,0.4782608695652174
