method_id,method_family,status,skip_reason
expression_only_linear,expression_only_or_center_only,included,not_applicable
always_true_neighbor_mean,always_true_neighbor_context,included,not_applicable
random_neighbor_control_model,wrong_context_random_neighbor,included,not_applicable
coordinate_shuffled_control_model,wrong_context_coordinate_shuffled,included,not_applicable
distant_neighbor_control_model,wrong_context_distant_neighbor,included,not_applicable
spatial_statistics_heuristic,spatial_statistics_heuristic,included,not_applicable
ligand_receptor_pathway_heuristic,ligand_receptor_or_pathway_heuristic,included,not_applicable
lightweight_graphsage_aggregation,gnn_style_context_aggregation,included,not_applicable
cellpack_packed_context_tiny,cellpack_packed_context,included,not_applicable
contextgate_transparent_router,contextgate_transparent_router,included,not_applicable
