method_id,method_family,row_count,positive_row_count,negative_row_count,mean_sensitivity_positive,mean_specificity_negative,false_positive_context_rate_negative,abstention_rate,gate_pass_rate
always_true_neighbor_mean,always_true_neighbor_context,72,36,36,0.9200000000000002,0.0,1.0,0.0,0.5
cellpack_packed_context_tiny,cellpack_packed_context,72,36,36,0.7966666666666669,0.5599999999999999,0.3333333333333333,0.16666666666666666,0.8333333333333334
contextgate_transparent_router,contextgate_transparent_router,72,36,36,0.8633333333333335,0.9433333333333331,0.0,0.3333333333333333,1.0
coordinate_shuffled_control_model,wrong_context_coordinate_shuffled,72,36,36,0.07738388888888888,0.0,1.0,0.0,0.0
distant_neighbor_control_model,wrong_context_distant_neighbor,72,36,36,0.07738388888888888,0.0,1.0,0.0,0.0
expression_only_linear,expression_only_or_center_only,72,36,36,0.0,1.0,0.0,0.0,0.5
ligand_receptor_pathway_heuristic,ligand_receptor_or_pathway_heuristic,72,36,36,0.7266666666666667,0.6199999999999998,0.3333333333333333,0.16666666666666666,0.8333333333333334
lightweight_graphsage_aggregation,gnn_style_context_aggregation,72,36,36,0.7866666666666666,0.5799999999999998,0.3333333333333333,0.16666666666666666,0.8333333333333334
random_neighbor_control_model,wrong_context_random_neighbor,72,36,36,0.07738388888888888,0.0,1.0,0.0,0.0
spatial_statistics_heuristic,spatial_statistics_heuristic,72,36,36,0.7066666666666666,0.5866666666666669,0.3333333333333333,0.3333333333333333,0.6666666666666666
