dataset_id,control_level,method_id,method_family,injected_signal_strength,sensitivity,recovery_rate,row_count,abstention_rate
gse310352_cosmx_pdac_1k,localized_context_signal,always_true_neighbor_mean,always_true_neighbor_context,0.75,0.92,1.0,6,0.0
gse310352_cosmx_pdac_1k,localized_context_signal,cellpack_packed_context_tiny,cellpack_packed_context,0.75,0.86,1.0,6,0.0
gse310352_cosmx_pdac_1k,localized_context_signal,contextgate_transparent_router,contextgate_transparent_router,0.75,0.84,1.0,6,0.0
gse310352_cosmx_pdac_1k,localized_context_signal,coordinate_shuffled_control_model,wrong_context_coordinate_shuffled,0.75,0.07635033333333334,0.0,6,0.0
gse310352_cosmx_pdac_1k,localized_context_signal,distant_neighbor_control_model,wrong_context_distant_neighbor,0.75,0.07635033333333334,0.0,6,0.0
gse310352_cosmx_pdac_1k,localized_context_signal,expression_only_linear,expression_only_or_center_only,0.75,0.0,0.0,6,0.0
gse310352_cosmx_pdac_1k,localized_context_signal,ligand_receptor_pathway_heuristic,ligand_receptor_or_pathway_heuristic,0.75,0.7600000000000001,1.0,6,0.0
gse310352_cosmx_pdac_1k,localized_context_signal,lightweight_graphsage_aggregation,gnn_style_context_aggregation,0.75,0.84,1.0,6,0.0
gse310352_cosmx_pdac_1k,localized_context_signal,random_neighbor_control_model,wrong_context_random_neighbor,0.75,0.07635033333333334,0.0,6,0.0
gse310352_cosmx_pdac_1k,localized_context_signal,spatial_statistics_heuristic,spatial_statistics_heuristic,0.75,0.82,1.0,6,0.0
gse310352_cosmx_pdac_1k,strong_injected_context_signal,always_true_neighbor_mean,always_true_neighbor_context,1.0,0.92,1.0,6,0.0
gse310352_cosmx_pdac_1k,strong_injected_context_signal,cellpack_packed_context_tiny,cellpack_packed_context,1.0,0.86,1.0,6,0.0
gse310352_cosmx_pdac_1k,strong_injected_context_signal,contextgate_transparent_router,contextgate_transparent_router,1.0,0.9700000000000001,1.0,6,0.0
gse310352_cosmx_pdac_1k,strong_injected_context_signal,coordinate_shuffled_control_model,wrong_context_coordinate_shuffled,1.0,0.10000000000000002,0.0,6,0.0
gse310352_cosmx_pdac_1k,strong_injected_context_signal,distant_neighbor_control_model,wrong_context_distant_neighbor,1.0,0.10000000000000002,0.0,6,0.0
gse310352_cosmx_pdac_1k,strong_injected_context_signal,expression_only_linear,expression_only_or_center_only,1.0,0.0,0.0,6,0.0
gse310352_cosmx_pdac_1k,strong_injected_context_signal,ligand_receptor_pathway_heuristic,ligand_receptor_or_pathway_heuristic,1.0,0.7600000000000001,1.0,6,0.0
gse310352_cosmx_pdac_1k,strong_injected_context_signal,lightweight_graphsage_aggregation,gnn_style_context_aggregation,1.0,0.84,1.0,6,0.0
gse310352_cosmx_pdac_1k,strong_injected_context_signal,random_neighbor_control_model,wrong_context_random_neighbor,1.0,0.10000000000000002,0.0,6,0.0
gse310352_cosmx_pdac_1k,strong_injected_context_signal,spatial_statistics_heuristic,spatial_statistics_heuristic,1.0,0.82,1.0,6,0.0
gse310352_cosmx_pdac_1k,weak_or_noisy_injected_context_signal,always_true_neighbor_mean,always_true_neighbor_context,0.55,0.92,1.0,6,0.0
gse310352_cosmx_pdac_1k,weak_or_noisy_injected_context_signal,cellpack_packed_context_tiny,cellpack_packed_context,0.55,0.67,1.0,6,0.0
gse310352_cosmx_pdac_1k,weak_or_noisy_injected_context_signal,contextgate_transparent_router,contextgate_transparent_router,0.55,0.7799999999999999,1.0,6,0.0
