dataset_id,task_id,total_failure_count,primary_failure_class,failure_class_counts,claim_downgrades
cosmx_6k_bcc_yerly_2024,context_utility_detection,10,fov_or_sample_artifact,fov_or_sample_artifact:8;labels_not_replicated:2,no_heldout_generalization_claim;no_spatial_neighbor_claim_without_controls
cosmx_6k_bcc_yerly_2024,not_recorded,4,insufficient_power,insufficient_power:2;labels_not_replicated:2,abstain_until_more_power_or_replicates;no_heldout_generalization_claim
discovery_index_without_direct_artifact,dataset_access,1,access_or_schema_blocker,access_or_schema_blocker:1,rejected_dataset_ledger_only
gse277782_cosmx_pdac_metastasis,context_utility_detection,11,insufficient_power,insufficient_power:5;fov_or_sample_artifact:4;labels_not_replicated:2,abstain_until_more_power_or_replicates;no_heldout_generalization_claim;no_spatial_neighbor_claim_without_controls
gse277782_cosmx_pdac_metastasis,not_recorded,3,labels_not_replicated,labels_not_replicated:2;insufficient_power:1,abstain_until_more_power_or_replicates;no_heldout_generalization_claim
gse310352_cosmx_pdac_1k,context_utility_detection,12,fov_or_sample_artifact,fov_or_sample_artifact:9;insufficient_power:2;labels_not_replicated:1,abstain_until_more_power_or_replicates;no_heldout_generalization_claim;no_spatial_neighbor_claim_without_controls
gse310352_cosmx_pdac_1k,not_recorded,1,labels_not_replicated,labels_not_replicated:1,no_heldout_generalization_claim
gse310352_cosmx_pdac_1k,positive_null_control_ladder,174,insufficient_power,insufficient_power:78;fov_or_sample_artifact:72;panel_lacks_downstream_genes:24,abstain_until_more_power_or_replicates;downgrade_pathway_or_lr_panel_claim;no_spatial_neighbor_claim_without_controls
htapp_mbc_scp2702_merfish,dataset_access,1,access_or_schema_blocker,access_or_schema_blocker:1,rejected_dataset_ledger_only
private_or_login_only_sources,dataset_access,1,access_or_schema_blocker,access_or_schema_blocker:1,rejected_dataset_ledger_only
scrna_visium_deconvolution_cell_claim,dataset_access,1,access_or_schema_blocker,access_or_schema_blocker:1,rejected_dataset_ledger_only
standard_visium_spot_level_only,dataset_access,1,access_or_schema_blocker,access_or_schema_blocker:1,rejected_dataset_ledger_only
xenium_breast_biomarkers_v1,context_utility_detection,21,fov_or_sample_artifact,fov_or_sample_artifact:12;expression_absorbs_signal:3;insufficient_power:3;panel_lacks_downstream_genes:3,abstain_until_more_power_or_replicates;downgrade_pathway_or_lr_panel_claim;no_spatial_neighbor_claim_without_controls;prefer_expression_only_baseline
xenium_breast_biomarkers_v1,not_recorded,3,expression_absorbs_signal,expression_absorbs_signal:3,prefer_expression_only_baseline
xenium_breast_biomarkers_v1,positive_null_control_ladder,174,insufficient_power,insufficient_power:78;fov_or_sample_artifact:72;panel_lacks_downstream_genes:24,abstain_until_more_power_or_replicates;downgrade_pathway_or_lr_panel_claim;no_spatial_neighbor_claim_without_controls
xenium_breast_v1,context_utility_detection,20,fov_or_sample_artifact,fov_or_sample_artifact:12;insufficient_power:7;expression_absorbs_signal:1,abstain_until_more_power_or_replicates;no_spatial_neighbor_claim_without_controls;prefer_expression_only_baseline
xenium_breast_v1,not_recorded,11,insufficient_power,insufficient_power:8;expression_absorbs_signal:2;lr_without_downstream_response:1,abstain_until_more_power_or_replicates;no_downstream_lr_response_claim;prefer_expression_only_baseline
