stress_run_id,stress_id,stress_family,stress_axis,stress_level,dataset_id,task_id,method_id,control_id,split_id,seed,observed_value,comparator_value,threshold_value,passed,claim_id,claim_downgrade,evidence_pointer,notes
contextgate_bench_v0_cp_q7,stress_0158734c46329f,threshold_sensitivity,fdr_threshold,0.01,all,all,contextgate_transparent_router,all,all,all,0.34295408390153853,0.0,0.01,False,strong_biological_context_claim,biological_context_claim_downgraded_no_fdr_support,benchmark_metric_matrix.parquet,Predeclared fdr_threshold applied to ContextGate fdr_adjusted_p_value in Q1 tier.
contextgate_bench_v0_cp_q7,stress_db0576dc78829e,threshold_sensitivity,fdr_threshold,0.05,all,all,contextgate_transparent_router,all,all,all,0.34295408390153853,0.0,0.05,False,strong_biological_context_claim,biological_context_claim_downgraded_no_fdr_support,benchmark_metric_matrix.parquet,Predeclared fdr_threshold applied to ContextGate fdr_adjusted_p_value in Q1 tier.
contextgate_bench_v0_cp_q7,stress_285d9219dc1439,threshold_sensitivity,fdr_threshold,0.1,all,all,contextgate_transparent_router,all,all,all,0.34295408390153853,0.0,0.1,False,strong_biological_context_claim,biological_context_claim_downgraded_no_fdr_support,benchmark_metric_matrix.parquet,Predeclared fdr_threshold applied to ContextGate fdr_adjusted_p_value in Q1 tier.
contextgate_bench_v0_cp_q7,stress_74de200c40dcfd,threshold_sensitivity,effect_size_threshold,0.02,all,all,contextgate_transparent_router,all,all,all,0.15704591609846155,0.0,0.02,True,strong_biological_context_claim,none,benchmark_metric_matrix.parquet,Predeclared effect_size_threshold applied to ContextGate effect_size in Q1 tier.
contextgate_bench_v0_cp_q7,stress_b0205e36544741,threshold_sensitivity,effect_size_threshold,0.05,all,all,contextgate_transparent_router,all,all,all,0.15704591609846155,0.0,0.05,True,strong_biological_context_claim,none,benchmark_metric_matrix.parquet,Predeclared effect_size_threshold applied to ContextGate effect_size in Q1 tier.
contextgate_bench_v0_cp_q7,stress_b138c53bb1a1fa,threshold_sensitivity,effect_size_threshold,0.1,all,all,contextgate_transparent_router,all,all,all,0.15704591609846155,0.0,0.1,True,strong_biological_context_claim,none,benchmark_metric_matrix.parquet,Predeclared effect_size_threshold applied to ContextGate effect_size in Q1 tier.
contextgate_bench_v0_cp_q7,stress_d9eee1f7e1e31d,threshold_sensitivity,no_harm_threshold,0.8,all,all,contextgate_transparent_router,all,all,all,1.0,0.0,0.8,True,contextgate_no_harm,none,benchmark_metric_matrix.parquet,Predeclared no_harm_threshold applied to ContextGate no_harm_rate in Q1 tier.
contextgate_bench_v0_cp_q7,stress_2dab6a3c05508f,threshold_sensitivity,no_harm_threshold,0.9,all,all,contextgate_transparent_router,all,all,all,1.0,0.0,0.9,True,contextgate_no_harm,none,benchmark_metric_matrix.parquet,Predeclared no_harm_threshold applied to ContextGate no_harm_rate in Q1 tier.
contextgate_bench_v0_cp_q7,stress_e2a01d69c43731,threshold_sensitivity,no_harm_threshold,0.95,all,all,contextgate_transparent_router,all,all,all,1.0,0.0,0.95,True,contextgate_no_harm,none,benchmark_metric_matrix.parquet,Predeclared no_harm_threshold applied to ContextGate no_harm_rate in Q1 tier.
contextgate_bench_v0_cp_q7,stress_0309320ba7d095,threshold_sensitivity,false_positive_threshold,0.0,all,all,contextgate_transparent_router,all,all,all,0.0,0.0,0.0,True,contextgate_false_positive_control,none,benchmark_metric_matrix.parquet,Predeclared false_positive_threshold applied to ContextGate false_positive_context_rate in Q1 tier.
contextgate_bench_v0_cp_q7,stress_5472a8995f4f6e,threshold_sensitivity,false_positive_threshold,0.05,all,all,contextgate_transparent_router,all,all,all,0.0,0.0,0.05,True,contextgate_false_positive_control,none,benchmark_metric_matrix.parquet,Predeclared false_positive_threshold applied to ContextGate false_positive_context_rate in Q1 tier.
contextgate_bench_v0_cp_q7,stress_aa92714028b62c,threshold_sensitivity,false_positive_threshold,0.1,all,all,contextgate_transparent_router,all,all,all,0.0,0.0,0.1,True,contextgate_false_positive_control,none,benchmark_metric_matrix.parquet,Predeclared false_positive_threshold applied to ContextGate false_positive_context_rate in Q1 tier.
contextgate_bench_v0_cp_q7,stress_8d117b0beab25b,threshold_sensitivity,replication_threshold,0.5,all,all,contextgate_transparent_router,all,all,all,0.5989855738156449,0.0,0.5,True,heldout_replication_claim,none,benchmark_metric_matrix.parquet,Predeclared replication_threshold applied to ContextGate replication_rate in Q1 tier.
contextgate_bench_v0_cp_q7,stress_8de1da2e9d04d0,threshold_sensitivity,replication_threshold,0.6,all,all,contextgate_transparent_router,all,all,all,0.5989855738156449,0.0,0.6,False,heldout_replication_claim,heldout_replication_claim_downgraded,benchmark_metric_matrix.parquet,Predeclared replication_threshold applied to ContextGate replication_rate in Q1 tier.
contextgate_bench_v0_cp_q7,stress_b0b400908b31ce,threshold_sensitivity,replication_threshold,0.7,all,all,contextgate_transparent_router,all,all,all,0.5989855738156449,0.0,0.7,False,heldout_replication_claim,heldout_replication_claim_downgraded,benchmark_metric_matrix.parquet,Predeclared replication_threshold applied to ContextGate replication_rate in Q1 tier.
contextgate_bench_v0_cp_q7,stress_6dcc457aa155f5,threshold_sensitivity,min_row_count,3,all,all,all,all,all,all,188.0,0.0,3.0,True,benchmark_power_floor,none,benchmark_metric_matrix.parquet,Minimum Q1 method/metric row count after skips.
contextgate_bench_v0_cp_q7,stress_d208e3bc25b3c8,threshold_sensitivity,min_row_count,10,all,all,all,all,all,all,188.0,0.0,10.0,True,benchmark_power_floor,none,benchmark_metric_matrix.parquet,Minimum Q1 method/metric row count after skips.
contextgate_bench_v0_cp_q7,stress_4e5ed69dd48644,threshold_sensitivity,min_row_count,30,all,all,all,all,all,all,188.0,0.0,30.0,True,benchmark_power_floor,none,benchmark_metric_matrix.parquet,Minimum Q1 method/metric row count after skips.
