context_utility_id,phase,source_dataset,run_label,evidence_class,route_recommendation,context_utility_score,claim_rationale,decision,artifact_count,available_pair_count,available_module_target_count,row_or_unit_count,gene_count,positive_run_count,confidence_level,fdr_alpha,fdr_controlled,statistics_source,artifact_families,proof_gate_passed,masked_gene_gate_passed,ligand_receptor_gate_passed,raw_receptor_signal_gate_passed,residual_receptor_gate_passed,residual_module_gate_passed,contrastive_context_gate_passed,residual_signal_gate_passed,bio_gate_replay_passed,strict_conditioned_gate_passed,target_coverage_gate_passed,spatial_label_gate_passed,heldout_gate_passed,exploratory_localized_lead_found,positive_control_gate_passed,upstream_cp47_proof_gate_passed
cus_001,CP-4.10,xenium_breast_v1,cp3lr_mu128_mg128_k5_steps12,negative_context,expression_only,0.0,Strict biological context gates were evaluated and did not pass.,not_recorded,16,,,,,,0.95,,False,registry_command_metadata,cp410_claim_audit;cp410_contrastive_downstream_associations;cp410_contrastive_metrics;cp410_contrastive_scores;cp410_modal_summary;cp410_module_targets;cp410_pair_availability;cp410_report;cp410_residual_comparisons;cp410_residual_metrics;cp410_residual_unit_scores;cp410_selected_pairs;cp410_signal_associations;cp410_signal_comparisons;cp410_summary;cp410_variant_signal_table,,,,False,False,False,False,,,,,,,,,
cus_002,CP-4.11,xenium_breast_biomarkers_v1,cp6a_loader_smoke,negative_context,expression_only,0.0,Strict biological context gates were evaluated and did not pass.,expand_second_dataset_sections_first,11,2.0,5.0,,,,0.95,,False,registry_command_metadata,cp411_claim_audit;cp411_label_spatial_comparisons;cp411_label_spatial_metrics;cp411_modal_summary;cp411_module_coverage;cp411_pair_coverage;cp411_report;cp411_residual_comparisons;cp411_residual_summary;cp411_split_feasibility;cp411_summary,,,,,,,,False,,,True,True,True,,,
cus_003,CP-4.11,xenium_breast_biomarkers_v1,cp6b_loader_top4_s1000,negative_context,expression_only,0.0,Strict biological context gates were evaluated and did not pass.,expand_second_dataset_sections_first,11,2.0,5.0,,,,0.95,,False,registry_command_metadata,cp411_claim_audit;cp411_label_spatial_comparisons;cp411_label_spatial_metrics;cp411_modal_summary;cp411_module_coverage;cp411_pair_coverage;cp411_report;cp411_residual_comparisons;cp411_residual_summary;cp411_split_feasibility;cp411_summary,,,,,,,,False,,,True,True,True,,,
cus_004,CP-4.11,xenium_breast_biomarkers_v1,cp6c_loader_all12_s500,negative_context,expression_only,0.0,Strict biological context gates were evaluated and did not pass.,search_for_new_dataset,11,2.0,5.0,,,,0.95,,False,registry_command_metadata,cp411_claim_audit;cp411_label_spatial_comparisons;cp411_label_spatial_metrics;cp411_modal_summary;cp411_module_coverage;cp411_pair_coverage;cp411_report;cp411_residual_comparisons;cp411_residual_summary;cp411_split_feasibility;cp411_summary,,,,,,,,False,,,True,True,True,,,
cus_005,CP-4.7,xenium_breast_v1,cp3lr_mu128_mg128_k5_steps12,negative_context,expression_only,0.0,Strict biological context gates were evaluated and did not pass.,not_recorded,51,,,,,,0.95,,False,registry_command_metadata,all_variant_predictions;all_variant_sequences;center_only_cellpack_tiny_trained_metrics;center_only_cellpack_tiny_trained_predictions;center_only_cellpack_tiny_trained_state;center_only_cellpack_tiny_trained_summary;center_only_cellpack_tiny_training_history;center_only_sequences;coordinate_shuffled_cellpack_tiny_trained_metrics;coordinate_shuffled_cellpack_tiny_trained_predictions;coordinate_shuffled_cellpack_tiny_trained_state;coordinate_shuffled_cellpack_tiny_trained_summary;coordinate_shuffled_cellpack_tiny_training_history;coordinate_shuffled_sequences;cp47_claim_audit;cp47_ligand_receptor_comparisons;cp47_masked_gene_comparisons;cp47_modal_summary;cp47_report;cp47_summary;distant_neighbor_cellpack_tiny_trained_metrics;distant_neighbor_cellpack_tiny_trained_predictions;distant_neighbor_cellpack_tiny_trained_state;distant_neighbor_cellpack_tiny_trained_summary;distant_neighbor_cellpack_tiny_training_history;distant_neighbor_sequences;lr_pair_availability;lr_recovery_aggregate_metrics;lr_recovery_center_scores;lr_recovery_pair_metrics;lr_recovery_summary;masked_gene_gene_metrics;masked_gene_metrics;masked_gene_paired_comparisons;masked_gene_stratified_metrics;masked_gene_summary;masked_gene_targets;random_neighbor_cellpack_tiny_trained_metrics;random_neighbor_cellpack_tiny_trained_predictions;random_neighbor_cellpack_tiny_trained_state;random_neighbor_cellpack_tiny_trained_summary;random_neighbor_cellpack_tiny_training_history;random_neighbor_sequences;true_neighbor_cellpack_tiny_trained_metrics;true_neighbor_cellpack_tiny_trained_predictions;true_neighbor_cellpack_tiny_trained_state;true_neighbor_cellpack_tiny_trained_summary;true_neighbor_cellpack_tiny_training_history;true_neighbor_sequences;unified_token_vocabulary;variant_manifest,False,False,False,,,,,,,,,,,,,
cus_008,CP-4.9,xenium_breast_v1,cp3lr_mu128_mg128_k5_steps12,negative_context,expression_only,0.0,Strict biological context gates were evaluated and did not pass.,not_recorded,56,,,,,,0.95,,False,registry_command_metadata,all_variant_predictions;all_variant_sequences;center_only_cellpack_tiny_trained_metrics;center_only_cellpack_tiny_trained_predictions;center_only_cellpack_tiny_trained_state;center_only_cellpack_tiny_trained_summary;center_only_cellpack_tiny_training_history;center_only_sequences;context_signal_pair_availability;context_signal_selected_pairs;context_signal_selection_summary;context_signal_token_audit;context_signal_variant_signals;coordinate_shuffled_cellpack_tiny_trained_metrics;coordinate_shuffled_cellpack_tiny_trained_predictions;coordinate_shuffled_cellpack_tiny_trained_state;coordinate_shuffled_cellpack_tiny_trained_summary;coordinate_shuffled_cellpack_tiny_training_history;coordinate_shuffled_sequences;cp47_claim_audit;cp47_ligand_receptor_comparisons;cp47_masked_gene_comparisons;cp47_report;cp47_summary;cp49_modal_summary;distant_neighbor_cellpack_tiny_trained_metrics;distant_neighbor_cellpack_tiny_trained_predictions;distant_neighbor_cellpack_tiny_trained_state;distant_neighbor_cellpack_tiny_trained_summary;distant_neighbor_cellpack_tiny_training_history;distant_neighbor_sequences;lr_pair_availability;lr_recovery_aggregate_metrics;lr_recovery_center_scores;lr_recovery_pair_metrics;lr_recovery_summary;masked_gene_gene_metrics;masked_gene_metrics;masked_gene_paired_comparisons;masked_gene_stratified_metrics;masked_gene_summary;masked_gene_targets;random_neighbor_cellpack_tiny_trained_metrics;random_neighbor_cellpack_tiny_trained_predictions;random_neighbor_cellpack_tiny_trained_state;random_neighbor_cellpack_tiny_trained_summary;random_neighbor_cellpack_tiny_training_history;random_neighbor_sequences;true_neighbor_cellpack_tiny_trained_metrics;true_neighbor_cellpack_tiny_trained_predictions;true_neighbor_cellpack_tiny_trained_state;true_neighbor_cellpack_tiny_trained_summary;true_neighbor_cellpack_tiny_training_history;true_neighbor_sequences;unified_token_vocabulary;variant_manifest,False,False,False,,,,,,,,,,,,,
cus_015,CP-6J,gse310352_cosmx_pdac_1k,cp6j_gse310352_all8_s20000,negative_context,expression_only,0.0,Strict biological context gates were evaluated and did not pass.,try_cosmx_6k_bcc_or_conditioned_targets,35,16.0,,12914.0,970.0,,,,False,registry_metadata_only,control_graph_diagnostics;control_graph_summary;control_neighbors;cp410_claim_audit;cp410_contrastive_downstream_associations;cp410_contrastive_metrics;cp410_contrastive_scores;cp410_module_targets;cp410_pair_availability;cp410_report;cp410_residual_comparisons;cp410_residual_metrics;cp410_residual_unit_scores;cp410_selected_pairs;cp410_signal_associations;cp410_signal_comparisons;cp410_summary;cp410_variant_signal_table;cp6j_modal_summary;direct_label_summary;expression_matrix;expression_metadata;gene_vocabulary;label_summary;loader_summary;marker_label_summary;marker_scores;pair_availability;source_inventory;spatial_graph_diagnostics;spatial_graph_summary;spatial_neighbors;split_assignments;split_summary;unit_table,,,,,,,,,,,,,,,,
cus_016,CP-6J,gse310352_cosmx_pdac_1k,cp6j_gse310352_all8_s30000,negative_context,expression_only,0.0,Strict biological context gates were evaluated and did not pass.,try_cosmx_6k_bcc_or_conditioned_targets,35,16.0,,30000.0,970.0,,,,False,registry_metadata_only,control_graph_diagnostics;control_graph_summary;control_neighbors;cp410_claim_audit;cp410_contrastive_downstream_associations;cp410_contrastive_metrics;cp410_contrastive_scores;cp410_module_targets;cp410_pair_availability;cp410_report;cp410_residual_comparisons;cp410_residual_metrics;cp410_residual_unit_scores;cp410_selected_pairs;cp410_signal_associations;cp410_signal_comparisons;cp410_summary;cp410_variant_signal_table;cp6j_modal_summary;direct_label_summary;expression_matrix;expression_metadata;gene_vocabulary;label_summary;loader_summary;marker_label_summary;marker_scores;pair_availability;source_inventory;spatial_graph_diagnostics;spatial_graph_summary;spatial_neighbors;split_assignments;split_summary;unit_table,,,,,,,,,,,,,,,,
cus_017,CP-6K,cosmx_6k_bcc_yerly_2024,cp6l_cosmx_6k_bcc_s12000,negative_context,expression_only,0.0,Strict biological context gates were evaluated and did not pass.,stop_dataset_chasing_pivot_negative_benchmark,7,,,12000.0,,,,0.05,True,registry_command_metadata,localized_comparisons;localized_group_summary;predeclared_summary;report;strict_comparisons;strict_group_summary;summary,,,,,,,,,,False,,,,False,,
cus_018,CP-6K,cosmx_6k_bcc_yerly_2024,cp6l_cosmx_6k_bcc_s20000,negative_context,expression_only,0.0,Strict biological context gates were evaluated and did not pass.,move_to_cosmx_6k_bcc_conversion;stop_dataset_chasing_pivot_negative_benchmark,14,,,20000.0,,,,0.05,True,registry_command_metadata,localized_comparisons;localized_group_summary;predeclared_summary;report;strict_comparisons;strict_group_summary;summary,,,,,,,,,,False,,,,False,,
cus_019,CP-6K,gse277782_cosmx_pdac_metastasis,cp6g_gse277782_slides12_s9000,negative_context,expression_only,0.0,Strict biological context gates were evaluated and did not pass.,move_to_cosmx_6k_bcc_conversion,7,,,8400.0,,,,0.05,True,registry_command_metadata,localized_comparisons;localized_group_summary;predeclared_summary;report;strict_comparisons;strict_group_summary;summary,,,,,,,,,,False,,,,False,,
