baseline_name,eval_scope,row_count,accuracy,mean_confidence,brier_score,ece,auroc_context_positive,auprc_context_positive,mean_utility,mean_regret,false_positive_context_count,false_positive_context_rate,context_overuse_count,context_overuse_rate,positive_control_count,positive_control_context_recall
always_expression,all,23,0.4782608695652174,1.0,1.0434782608695652,0.5217391304347826,0.5,0.043478260869565216,0.8130434782608694,0.18695652173913044,0,0.0,0,0.0,1,0.0
always_full_context,all,23,0.043478260869565216,1.0,1.9130434782608696,0.9565217391304348,0.5,0.043478260869565216,0.13913043478260875,0.8608695652173914,11,1.0,22,0.9565217391304348,1,1.0
lr_pathway_heuristic,all,23,0.6956521739130435,0.6217391304347825,0.47710144927536213,0.07391304347826094,0.6136363636363636,0.05555555555555555,0.8695652173913043,0.13043478260869562,0,0.0,0,0.0,1,0.0
oracle_upper_bound,all,23,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,0,0.0,1,1.0
random_router,all,23,0.17391304347826086,0.40000000000000013,0.8104347826086958,0.22608695652173927,0.7045454545454546,0.07142857142857142,0.3978260869565216,0.6021739130434784,8,0.7272727272727273,13,0.5652173913043478,1,1.0
spatial_statistics_heuristic,all,23,1.0,0.7282608695652174,0.10594202898550718,0.2717391304347825,1.0,1.0,1.0,0.0,0,0.0,0,0.0,1,1.0
always_expression,evaluation_only,13,0.8461538461538461,1.0,0.3076923076923077,0.15384615384615385,,,0.9538461538461538,0.04615384615384616,0,0.0,0,0.0,0,
always_full_context,evaluation_only,13,0.0,1.0,2.0,1.0,,,0.03076923076923077,0.9692307692307693,11,1.0,13,1.0,0,
lr_pathway_heuristic,evaluation_only,13,0.5384615384615384,0.6384615384615382,0.6082051282051282,0.3307692307692308,,,0.8153846153846154,0.1846153846153846,0,0.0,0,0.0,0,
oracle_upper_bound,evaluation_only,13,1.0,1.0,0.0,0.0,,,1.0,0.0,0,0.0,0,0.0,0,
random_router,evaluation_only,13,0.15384615384615385,0.4000000000000001,0.8184615384615387,0.24615384615384622,,,0.26153846153846155,0.7384615384615386,8,0.7272727272727273,9,0.6923076923076923,0,
spatial_statistics_heuristic,evaluation_only,13,1.0,0.776923076923077,0.07025641025641023,0.22307692307692303,,,1.0,0.0,0,0.0,0,0.0,0,
always_expression,train_allowed,6,0.0,1.0,2.0,1.0,0.5,0.16666666666666666,0.5833333333333334,0.4166666666666667,0,,0,0.0,1,0.0
always_full_context,train_allowed,6,0.16666666666666666,1.0,1.6666666666666667,0.8333333333333334,0.5,0.16666666666666666,0.3333333333333333,0.6666666666666666,0,,5,0.8333333333333334,1,1.0
lr_pathway_heuristic,train_allowed,6,0.8333333333333334,0.6,0.3688888888888889,0.2333333333333334,0.5,0.16666666666666666,0.9,0.09999999999999999,0,,0,0.0,1,0.0
oracle_upper_bound,train_allowed,6,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,,0,0.0,1,1.0
random_router,train_allowed,6,0.0,0.39999999999999997,0.88,0.39999999999999997,0.7,0.25,0.4749999999999999,0.5249999999999999,0,,3,0.5,1,1.0
spatial_statistics_heuristic,train_allowed,6,1.0,0.6749999999999999,0.145,0.325,1.0,1.0,1.0,0.0,0,,0,0.0,1,1.0
always_expression,validation_only,4,0.0,1.0,2.0,1.0,,,0.7,0.30000000000000004,0,,0,0.0,0,
always_full_context,validation_only,4,0.0,1.0,2.0,1.0,,,0.2,0.8,0,,4,1.0,0,
lr_pathway_heuristic,validation_only,4,1.0,0.6,0.21333333333333337,0.4,,,1.0,0.0,0,,0,0.0,0,
oracle_upper_bound,validation_only,4,1.0,1.0,0.0,0.0,,,1.0,0.0,0,,0,0.0,0,
random_router,validation_only,4,0.5,0.4,0.68,0.09999999999999998,,,0.725,0.275,0,,1,0.25,0,
spatial_statistics_heuristic,validation_only,4,1.0,0.65,0.1633333333333333,0.35,,,1.0,0.0,0,,0,0.0,0,
