baseline_name,eval_scope,expression_only_count,false_positive_context_count,false_positive_context_rate,non_context_count,context_overuse_count,context_overuse_rate,positive_control_count,positive_control_context_recall
always_expression,all,11,0,0.0,22,0,0.0,1,0.0
always_expression,train_allowed,0,0,,5,0,0.0,1,0.0
always_expression,validation_only,0,0,,4,0,0.0,0,
always_expression,evaluation_only,11,0,0.0,13,0,0.0,0,
always_full_context,all,11,11,1.0,22,22,1.0,1,1.0
always_full_context,train_allowed,0,0,,5,5,1.0,1,1.0
always_full_context,validation_only,0,0,,4,4,1.0,0,
always_full_context,evaluation_only,11,11,1.0,13,13,1.0,0,
lr_pathway_heuristic,all,11,0,0.0,22,0,0.0,1,0.0
lr_pathway_heuristic,train_allowed,0,0,,5,0,0.0,1,0.0
lr_pathway_heuristic,validation_only,0,0,,4,0,0.0,0,
lr_pathway_heuristic,evaluation_only,11,0,0.0,13,0,0.0,0,
oracle_upper_bound,all,11,0,0.0,22,0,0.0,1,1.0
oracle_upper_bound,train_allowed,0,0,,5,0,0.0,1,1.0
oracle_upper_bound,validation_only,0,0,,4,0,0.0,0,
oracle_upper_bound,evaluation_only,11,0,0.0,13,0,0.0,0,
random_router,all,11,8,0.7272727272727273,22,13,0.5909090909090909,1,1.0
random_router,train_allowed,0,0,,5,3,0.6,1,1.0
random_router,validation_only,0,0,,4,1,0.25,0,
random_router,evaluation_only,11,8,0.7272727272727273,13,9,0.6923076923076923,0,
spatial_statistics_heuristic,all,11,0,0.0,22,0,0.0,1,1.0
spatial_statistics_heuristic,train_allowed,0,0,,5,0,0.0,1,1.0
spatial_statistics_heuristic,validation_only,0,0,,4,0,0.0,0,
spatial_statistics_heuristic,evaluation_only,11,0,0.0,13,0,0.0,0,
