baseline_name,eval_scope,row_count,mean_utility,oracle_mean_utility,oracle_gap,accuracy,oracle_accuracy,accuracy_gap,mean_regret
oracle_upper_bound,all,23,1.0,1.0,0.0,1.0,1.0,0.0,0.0
spatial_statistics_heuristic,all,23,1.0,1.0,0.0,1.0,1.0,0.0,0.0
lr_pathway_heuristic,all,23,0.8695652173913043,1.0,0.13043478260869568,0.6956521739130435,1.0,0.30434782608695654,0.13043478260869562
always_expression,all,23,0.8130434782608694,1.0,0.18695652173913058,0.4782608695652174,1.0,0.5217391304347826,0.18695652173913044
random_router,all,23,0.3978260869565216,1.0,0.6021739130434784,0.17391304347826086,1.0,0.8260869565217391,0.6021739130434784
always_full_context,all,23,0.13913043478260875,1.0,0.8608695652173912,0.043478260869565216,1.0,0.9565217391304348,0.8608695652173914
oracle_upper_bound,evaluation_only,13,1.0,1.0,0.0,1.0,1.0,0.0,0.0
spatial_statistics_heuristic,evaluation_only,13,1.0,1.0,0.0,1.0,1.0,0.0,0.0
always_expression,evaluation_only,13,0.9538461538461538,1.0,0.04615384615384621,0.8461538461538461,1.0,0.15384615384615385,0.04615384615384616
lr_pathway_heuristic,evaluation_only,13,0.8153846153846154,1.0,0.18461538461538463,0.5384615384615384,1.0,0.46153846153846156,0.1846153846153846
random_router,evaluation_only,13,0.26153846153846155,1.0,0.7384615384615385,0.15384615384615385,1.0,0.8461538461538461,0.7384615384615386
always_full_context,evaluation_only,13,0.03076923076923077,1.0,0.9692307692307692,0.0,1.0,1.0,0.9692307692307693
oracle_upper_bound,train_allowed,6,1.0,1.0,0.0,1.0,1.0,0.0,0.0
spatial_statistics_heuristic,train_allowed,6,1.0,1.0,0.0,1.0,1.0,0.0,0.0
lr_pathway_heuristic,train_allowed,6,0.9,1.0,0.09999999999999998,0.8333333333333334,1.0,0.16666666666666663,0.09999999999999999
always_expression,train_allowed,6,0.5833333333333334,1.0,0.41666666666666663,0.0,1.0,1.0,0.4166666666666667
random_router,train_allowed,6,0.4749999999999999,1.0,0.5250000000000001,0.0,1.0,1.0,0.5249999999999999
always_full_context,train_allowed,6,0.3333333333333333,1.0,0.6666666666666667,0.16666666666666666,1.0,0.8333333333333334,0.6666666666666666
lr_pathway_heuristic,validation_only,4,1.0,1.0,0.0,1.0,1.0,0.0,0.0
oracle_upper_bound,validation_only,4,1.0,1.0,0.0,1.0,1.0,0.0,0.0
spatial_statistics_heuristic,validation_only,4,1.0,1.0,0.0,1.0,1.0,0.0,0.0
random_router,validation_only,4,0.725,1.0,0.275,0.5,1.0,0.5,0.275
always_expression,validation_only,4,0.7,1.0,0.30000000000000004,0.0,1.0,1.0,0.30000000000000004
always_full_context,validation_only,4,0.2,1.0,0.8,0.0,1.0,1.0,0.8
