artifact_name,phase,source_dataset,output_label,artifact_kind,local_path,modal_path,local_available,modal_available,fine_grained_potential,label_leakage_risk,row_or_unit_count,usable_for_cp_r4_training,blocking_reason
xenium_breast_v1/cp3_modal_smoke/cp3lr_mu128_mg128_k5_steps12/evaluation/masked_gene_reconstruction/masked_gene_gene_metrics,CP-4.1,xenium_breast_v1,not_recorded,metric_or_comparison,not_recorded,/cellpack/runs/xenium_breast_v1/cp3_modal_smoke/cp3lr_mu128_mg128_k5_steps12/evaluation/masked_gene_reconstruction/masked_gene_gene_metrics.parquet,False,True,True,medium,0,False,modal_only_not_local
xenium_breast_v1/cp3_modal_smoke/cp3lr_mu128_mg128_k5_steps12/evaluation/masked_gene_reconstruction/masked_gene_metrics,CP-4.1,xenium_breast_v1,not_recorded,metric_or_comparison,not_recorded,/cellpack/runs/xenium_breast_v1/cp3_modal_smoke/cp3lr_mu128_mg128_k5_steps12/evaluation/masked_gene_reconstruction/masked_gene_metrics.parquet,False,True,True,medium,0,False,modal_only_not_local
xenium_breast_v1/cp3_modal_smoke/cp3lr_mu128_mg128_k5_steps12/evaluation/masked_gene_reconstruction/masked_gene_paired_comparisons,CP-4.1,xenium_breast_v1,not_recorded,metric_or_comparison,not_recorded,/cellpack/runs/xenium_breast_v1/cp3_modal_smoke/cp3lr_mu128_mg128_k5_steps12/evaluation/masked_gene_reconstruction/masked_gene_paired_comparisons.parquet,False,True,True,medium,0,False,modal_only_not_local
xenium_breast_v1/cp3_modal_smoke/cp3lr_mu128_mg128_k5_steps12/evaluation/masked_gene_reconstruction/masked_gene_stratified_metrics,CP-4.1,xenium_breast_v1,not_recorded,metric_or_comparison,not_recorded,/cellpack/runs/xenium_breast_v1/cp3_modal_smoke/cp3lr_mu128_mg128_k5_steps12/evaluation/masked_gene_reconstruction/masked_gene_stratified_metrics.parquet,False,True,True,medium,0,False,modal_only_not_local
xenium_breast_v1/cp3_modal_smoke/cp3lr_mu128_mg128_k5_steps12/evaluation/masked_gene_reconstruction/masked_gene_targets,CP-4.1,xenium_breast_v1,not_recorded,other_candidate,not_recorded,/cellpack/runs/xenium_breast_v1/cp3_modal_smoke/cp3lr_mu128_mg128_k5_steps12/evaluation/masked_gene_reconstruction/masked_gene_targets.parquet,False,True,True,low,0,False,modal_only_not_local
xenium_breast_v1/cp3_modal_smoke/cp3lr_mu128_mg128_k5_steps12/evaluation/masked_gene_reconstruction/cp41_masked_gene_smoke_summary,CP-4.1,xenium_breast_v1,not_recorded,summary_or_report,not_recorded,/cellpack/runs/xenium_breast_v1/cp3_modal_smoke/cp3lr_mu128_mg128_k5_steps12/evaluation/masked_gene_reconstruction/cp41_masked_gene_smoke_summary.json,False,True,False,medium,0,False,modal_only_not_local
xenium_breast_v1/cp3_modal_smoke/cp3lr_mu128_mg128_k5_steps12/evaluation/masked_gene_reconstruction/masked_gene_summary,CP-4.1,xenium_breast_v1,not_recorded,summary_or_report,not_recorded,/cellpack/runs/xenium_breast_v1/cp3_modal_smoke/cp3lr_mu128_mg128_k5_steps12/evaluation/masked_gene_reconstruction/masked_gene_summary.json,False,True,False,medium,0,False,modal_only_not_local
xenium_breast_v1/cp410_biology_triage/cp410_biology_triage_bounded/cp410_contrastive_metrics,CP-4.10,xenium_breast_v1,not_recorded,metric_or_comparison,not_recorded,/cellpack/runs/xenium_breast_v1/cp410_biology_triage/cp410_biology_triage_bounded/evaluation/biology_triage/cp410_contrastive_metrics.parquet,False,True,True,medium,0,False,modal_only_not_local
xenium_breast_v1/cp410_biology_triage/cp410_biology_triage_bounded/cp410_claim_audit,CP-4.10,xenium_breast_v1,not_recorded,other_candidate,not_recorded,/cellpack/runs/xenium_breast_v1/cp410_biology_triage/cp410_biology_triage_bounded/evaluation/biology_triage/cp410_claim_audit.parquet,False,True,False,blocked_high,0,False,modal_only_not_local
xenium_breast_v1/cp410_biology_triage/cp410_biology_triage_bounded/cp410_contrastive_downstream_associations,CP-4.10,xenium_breast_v1,not_recorded,other_candidate,not_recorded,/cellpack/runs/xenium_breast_v1/cp410_biology_triage/cp410_biology_triage_bounded/evaluation/biology_triage/cp410_contrastive_downstream_associations.parquet,False,True,False,low,0,False,modal_only_not_local
