balance_scope,class_name,row_count,fraction
all_route_label,expression_only,11,0.4782608695652174
all_route_label,compressed_context,0,0.0
all_route_label,full_context,1,0.043478260869565216
all_route_label,abstain_uncertain,11,0.4782608695652174
trainable_route_label,expression_only,0,0.0
trainable_route_label,compressed_context,0,0.0
trainable_route_label,full_context,1,0.16666666666666666
trainable_route_label,abstain_uncertain,5,0.8333333333333334
trainable_biological_route_label,expression_only,0,0.0
trainable_biological_route_label,compressed_context,0,0.0
trainable_biological_route_label,full_context,0,0.0
trainable_biological_route_label,abstain_uncertain,5,1.0
heldout_or_validation_route_label,expression_only,11,0.6470588235294118
heldout_or_validation_route_label,compressed_context,0,0.0
heldout_or_validation_route_label,full_context,0,0.0
heldout_or_validation_route_label,abstain_uncertain,6,0.35294117647058826
label_usage,evaluation_only,13,0.5652173913043478
label_usage,train_allowed,6,0.2608695652173913
label_usage,validation_only,4,0.17391304347826086
label_family,biological_context_negative,11,0.4782608695652174
label_family,exploratory_localized,2,0.08695652173913043
label_family,synthetic_positive_control,1,0.043478260869565216
label_family,uncertain_or_metadata,9,0.391304347826087
