control_status,expectation_id,sample_accession,section_id,true_beats_wrong,true_context_r2,wrong_context_control,wrong_context_r2
evaluated,h1_pos_gse311609_nsclc_cd274_checkpoint,GSM9509134,L1,True,0.03126753209504707,label_shuffled_context,0.00332239024906833
evaluated,h1_pos_gse311609_nsclc_cd274_checkpoint,GSM9509134,L1,True,0.03126753209504707,coordinate_shuffled_context,0.0035419261400456703
evaluated,h1_pos_gse311609_nsclc_cd274_checkpoint,GSM9509135,L3,True,0.11915894459114917,label_shuffled_context,0.11034419547868057
evaluated,h1_pos_gse311609_nsclc_cd274_checkpoint,GSM9509135,L3,True,0.11915894459114917,coordinate_shuffled_context,0.11026660599432803
evaluated,h1_pos_gse311609_nsclc_cd274_checkpoint,GSM9509136,L5,True,0.061334777294406506,label_shuffled_context,0.02639366188616421
evaluated,h1_pos_gse311609_nsclc_cd274_checkpoint,GSM9509136,L5,True,0.061334777294406506,coordinate_shuffled_context,0.026439374697705076
evaluated,h1_pos_gse311609_breast_cxcl12_cxcr4_boundary,GSM9509156,B17,True,0.0943031254159673,label_shuffled_context,0.09389251258908471
evaluated,h1_pos_gse311609_breast_cxcl12_cxcr4_boundary,GSM9509156,B17,True,0.0943031254159673,coordinate_shuffled_context,0.09393730504330855
evaluated,h1_pos_gse311609_breast_cxcl12_cxcr4_boundary,GSM9509157,B16,True,0.08328825630123315,label_shuffled_context,0.05465954011733032
evaluated,h1_pos_gse311609_breast_cxcl12_cxcr4_boundary,GSM9509157,B16,True,0.08328825630123315,coordinate_shuffled_context,0.054288434567307586
evaluated,h1_pos_gse311609_breast_cxcl12_cxcr4_boundary,GSM9509158,B15,True,0.025261012617652123,label_shuffled_context,0.024272653261370736
evaluated,h1_pos_gse311609_breast_cxcl12_cxcr4_boundary,GSM9509158,B15,False,0.025261012617652123,coordinate_shuffled_context,0.026532698805691757
