context_cell_fraction,delta_vs_expression,delta_vs_wrong,effect_gate_passed,effect_p_value,effect_q_value,expectation_id,expression_only_r2,measured_target_genes_for_residual,receiver_cell_count,receiver_cells_sampled,residual_utility_delta,sample_accession,sample_group,section_id,section_status,target_genes_for_residual,target_nonzero_fraction,true_context_r2,wrong_context_r2
0.05535469208860293,0.028634867264927144,0.027725605955001398,True,0.015625,0.01953125,h1_pos_gse311609_nsclc_cd274_checkpoint,0.002632664830119924,CD274;CXCL9;CXCL10,23917,5000,0.027725605955001398,GSM9509134,lung,L1,evaluated,CD274;CXCL9;CXCL10,0.03659814352965483,0.03126753209504707,0.0035419261400456703
0.15069716984142179,0.008929715094235458,0.0088147491124686,True,0.015625,0.01953125,h1_pos_gse311609_nsclc_cd274_checkpoint,0.11022922949691372,CD274;CXCL9;CXCL10,5565,5000,0.0088147491124686,GSM9509135,lung,L3,evaluated,CD274;CXCL9;CXCL10,0.15951264204351215,0.11915894459114917,0.11034419547868057
0.16107919983984478,0.03500816037287802,0.03489540259670143,True,0.015625,0.01953125,h1_pos_gse311609_nsclc_cd274_checkpoint,0.02632661692152849,CD274;CXCL9;CXCL10,5332,5000,0.03489540259670143,GSM9509136,lung,L5,evaluated,CD274;CXCL9;CXCL10,0.2392010718080601,0.061334777294406506,0.026439374697705076
0.059440128252558885,0.002455866883601332,0.0021127334517325735,True,0.015625,0.01953125,h1_pos_gse311609_nsclc_cd274_checkpoint,0.010282914635564744,CD274;CXCL9;CXCL10,7383,5000,0.0021127334517325735,GSM9509137,lung,L6,evaluated,CD274;CXCL9;CXCL10,0.02486434825502528,0.012738781519166076,0.010626048067433502
0.0457901712060152,0.02258521745587727,0.019815384639465305,True,0.03125,0.03125,h1_pos_gse311609_nsclc_cd274_checkpoint,0.1308470215119366,CD274;CXCL9;CXCL10,132,132,0.019815384639465305,GSM9509138,lung,L7,evaluated,CD274;CXCL9;CXCL10,0.034917372136423874,0.15343223896781388,0.13361685432834858
0.05372680640871382,0.001437105362557256,0.0012753061200018179,True,0.015625,0.01953125,h1_pos_gse311609_nsclc_cd274_checkpoint,0.04394065378547418,CD274;CXCL9;CXCL10,6197,5000,0.0012753061200018179,GSM9509139,lung,L8,evaluated,CD274;CXCL9;CXCL10,0.06863403204356912,0.04537775914803144,0.04410245302802962
0.13114411502452072,0.024456363870527298,0.024267664244173703,True,0.015625,0.01953125,h1_pos_gse311609_nsclc_cd274_checkpoint,0.03663323336846003,CD274;CXCL9;CXCL10,53390,5000,0.024267664244173703,GSM9509140,lung,L1_1,evaluated,CD274;CXCL9;CXCL10,0.11287895675434685,0.061089597238987325,0.03682193299481362
0.1276449399967419,0.017589009088474827,0.017540281685271997,True,0.015625,0.01953125,h1_pos_gse311609_nsclc_cd274_checkpoint,0.04698925213984073,CD274;CXCL9;CXCL10,40542,5000,0.017540281685271997,GSM9509141,lung,L1_2,evaluated,CD274;CXCL9;CXCL10,0.10572519774829403,0.06457826122831556,0.04703797954304356
0.16670241286863272,0.0008231396325014684,0.00034405277518545496,True,0.03125,0.03125,h1_pos_gse311609_nsclc_cd274_checkpoint,0.0859107170947051,CD274;CXCL9;CXCL10,23420,5000,0.00034405277518545496,GSM9509142,lung,L2,evaluated,CD274;CXCL9;CXCL10,0.22434316353887399,0.08673385672720657,0.08638980395202112
0.2896296027043728,0.019300052645579657,0.0188505825654125,True,0.015625,0.01953125,h1_pos_gse311609_nsclc_cd274_checkpoint,0.20454986066148517,CD274;CXCL9;CXCL10,68573,5000,0.0188505825654125,GSM9509143,lung,L3,evaluated,CD274;CXCL9;CXCL10,0.34917346192835996,0.22384991330706483,0.20499933074165233
