signal_family,method_id,method_family,row_count,negative_row_count,false_context_rate_on_negative,abstention_rate,gate_pass_rate
confounded_trap,always_true_neighbor_mean,always_true_neighbor_context,12,12,1.0,0.0,0.0
confounded_trap,cellpack_packed_context_tiny,cellpack_packed_context,12,12,1.0,0.0,0.0
confounded_trap,contextgate_transparent_router,contextgate_transparent_router,12,12,0.0,1.0,1.0
confounded_trap,coordinate_shuffled_control_model,wrong_context_coordinate_shuffled,12,12,1.0,0.0,0.0
confounded_trap,distant_neighbor_control_model,wrong_context_distant_neighbor,12,12,1.0,0.0,0.0
confounded_trap,expression_only_linear,expression_only_or_center_only,12,12,0.0,0.0,1.0
confounded_trap,ligand_receptor_pathway_heuristic,ligand_receptor_or_pathway_heuristic,12,12,1.0,0.0,0.0
confounded_trap,lightweight_graphsage_aggregation,gnn_style_context_aggregation,12,12,1.0,0.0,0.0
confounded_trap,random_neighbor_control_model,wrong_context_random_neighbor,12,12,1.0,0.0,0.0
confounded_trap,spatial_statistics_heuristic,spatial_statistics_heuristic,12,12,1.0,0.0,0.0
distance_decay,always_true_neighbor_mean,always_true_neighbor_context,12,0,0.0,0.0,1.0
distance_decay,cellpack_packed_context_tiny,cellpack_packed_context,12,0,0.0,0.0,1.0
distance_decay,contextgate_transparent_router,contextgate_transparent_router,12,0,0.0,0.0,1.0
distance_decay,coordinate_shuffled_control_model,wrong_context_coordinate_shuffled,12,0,0.0,0.0,0.0
distance_decay,distant_neighbor_control_model,wrong_context_distant_neighbor,12,0,0.0,0.0,0.0
distance_decay,expression_only_linear,expression_only_or_center_only,12,0,0.0,0.0,0.0
distance_decay,ligand_receptor_pathway_heuristic,ligand_receptor_or_pathway_heuristic,12,0,0.0,0.0,1.0
distance_decay,lightweight_graphsage_aggregation,gnn_style_context_aggregation,12,0,0.0,0.0,1.0
distance_decay,random_neighbor_control_model,wrong_context_random_neighbor,12,0,0.0,0.0,0.0
distance_decay,spatial_statistics_heuristic,spatial_statistics_heuristic,12,0,0.0,0.0,1.0
k_sensitivity,always_true_neighbor_mean,always_true_neighbor_context,36,0,0.0,0.0,1.0
k_sensitivity,cellpack_packed_context_tiny,cellpack_packed_context,36,0,0.0,0.0,1.0
k_sensitivity,contextgate_transparent_router,contextgate_transparent_router,36,0,0.0,0.0,1.0
k_sensitivity,coordinate_shuffled_control_model,wrong_context_coordinate_shuffled,36,0,0.0,0.0,0.0
k_sensitivity,distant_neighbor_control_model,wrong_context_distant_neighbor,36,0,0.0,0.0,0.0
k_sensitivity,expression_only_linear,expression_only_or_center_only,36,0,0.0,0.0,0.0
k_sensitivity,ligand_receptor_pathway_heuristic,ligand_receptor_or_pathway_heuristic,36,0,0.0,0.0,1.0
k_sensitivity,lightweight_graphsage_aggregation,gnn_style_context_aggregation,36,0,0.0,0.0,1.0
k_sensitivity,random_neighbor_control_model,wrong_context_random_neighbor,36,0,0.0,0.0,0.0
k_sensitivity,spatial_statistics_heuristic,spatial_statistics_heuristic,36,0,0.0,0.3333333333333333,0.6666666666666666
null_control,always_true_neighbor_mean,always_true_neighbor_context,12,12,1.0,0.0,0.0
null_control,cellpack_packed_context_tiny,cellpack_packed_context,12,12,0.0,0.0,1.0
null_control,contextgate_transparent_router,contextgate_transparent_router,12,12,0.0,0.0,1.0
null_control,coordinate_shuffled_control_model,wrong_context_coordinate_shuffled,12,12,1.0,0.0,0.0
null_control,distant_neighbor_control_model,wrong_context_distant_neighbor,12,12,1.0,0.0,0.0
null_control,expression_only_linear,expression_only_or_center_only,12,12,0.0,0.0,1.0
null_control,ligand_receptor_pathway_heuristic,ligand_receptor_or_pathway_heuristic,12,12,0.0,0.0,1.0
null_control,lightweight_graphsage_aggregation,gnn_style_context_aggregation,12,12,0.0,0.0,1.0
null_control,random_neighbor_control_model,wrong_context_random_neighbor,12,12,1.0,0.0,0.0
null_control,spatial_statistics_heuristic,spatial_statistics_heuristic,12,12,0.0,0.0,1.0
radius_sensitivity,always_true_neighbor_mean,always_true_neighbor_context,24,0,0.0,0.0,1.0
radius_sensitivity,cellpack_packed_context_tiny,cellpack_packed_context,24,0,0.0,0.0,1.0
radius_sensitivity,contextgate_transparent_router,contextgate_transparent_router,24,0,0.0,0.0,1.0
radius_sensitivity,coordinate_shuffled_control_model,wrong_context_coordinate_shuffled,24,0,0.0,0.0,0.0
radius_sensitivity,distant_neighbor_control_model,wrong_context_distant_neighbor,24,0,0.0,0.0,0.0
radius_sensitivity,expression_only_linear,expression_only_or_center_only,24,0,0.0,0.0,0.0
radius_sensitivity,ligand_receptor_pathway_heuristic,ligand_receptor_or_pathway_heuristic,24,0,0.0,0.0,1.0
radius_sensitivity,lightweight_graphsage_aggregation,gnn_style_context_aggregation,24,0,0.0,0.0,1.0
radius_sensitivity,random_neighbor_control_model,wrong_context_random_neighbor,24,0,0.0,0.0,0.0
radius_sensitivity,spatial_statistics_heuristic,spatial_statistics_heuristic,24,0,0.0,0.5,0.5
rare_niche,always_true_neighbor_mean,always_true_neighbor_context,12,0,0.0,0.0,1.0
rare_niche,cellpack_packed_context_tiny,cellpack_packed_context,12,0,0.0,0.0,1.0
rare_niche,contextgate_transparent_router,contextgate_transparent_router,12,0,0.0,0.0,1.0
rare_niche,coordinate_shuffled_control_model,wrong_context_coordinate_shuffled,12,0,0.0,0.0,0.0
rare_niche,distant_neighbor_control_model,wrong_context_distant_neighbor,12,0,0.0,0.0,0.0
rare_niche,expression_only_linear,expression_only_or_center_only,12,0,0.0,0.0,0.0
rare_niche,ligand_receptor_pathway_heuristic,ligand_receptor_or_pathway_heuristic,12,0,0.0,1.0,0.0
rare_niche,lightweight_graphsage_aggregation,gnn_style_context_aggregation,12,0,0.0,0.0,1.0
rare_niche,random_neighbor_control_model,wrong_context_random_neighbor,12,0,0.0,0.0,0.0
rare_niche,spatial_statistics_heuristic,spatial_statistics_heuristic,12,0,0.0,1.0,0.0
receiver_state_conditioned,always_true_neighbor_mean,always_true_neighbor_context,12,0,0.0,0.0,1.0
receiver_state_conditioned,cellpack_packed_context_tiny,cellpack_packed_context,12,0,0.0,0.0,1.0
receiver_state_conditioned,contextgate_transparent_router,contextgate_transparent_router,12,0,0.0,0.0,1.0
receiver_state_conditioned,coordinate_shuffled_control_model,wrong_context_coordinate_shuffled,12,0,0.0,0.0,0.0
receiver_state_conditioned,distant_neighbor_control_model,wrong_context_distant_neighbor,12,0,0.0,0.0,0.0
